Country Name,Country Code,Series Name,Series Code,1995Q1 [YR1995Q1],1995Q2 [YR1995Q2],1995Q3 [YR1995Q3],1995Q4 [YR1995Q4],1996Q1 [YR1996Q1],1996Q2 [YR1996Q2],1996Q3 [YR1996Q3],1996Q4 [YR1996Q4],1997Q1 [YR1997Q1],1997Q2 [YR1997Q2],1997Q3 [YR1997Q3],1997Q4 [YR1997Q4],1998Q1 [YR1998Q1],1998Q2 [YR1998Q2],1998Q3 [YR1998Q3],1998Q4 [YR1998Q4],1999Q1 [YR1999Q1],1999Q2 [YR1999Q2],1999Q3 [YR1999Q3],1999Q4 [YR1999Q4],2000Q1 [YR2000Q1],2000Q2 [YR2000Q2],2000Q3 [YR2000Q3],2000Q4 [YR2000Q4],2001Q1 [YR2001Q1],2001Q2 [YR2001Q2],2001Q3 [YR2001Q3],2001Q4 [YR2001Q4],2002Q1 [YR2002Q1],2002Q2 [YR2002Q2],2002Q3 [YR2002Q3],2002Q4 [YR2002Q4],2003Q1 [YR2003Q1],2003Q2 [YR2003Q2],2003Q3 [YR2003Q3],2003Q4 [YR2003Q4],2004Q1 [YR2004Q1],2004Q2 [YR2004Q2],2004Q3 [YR2004Q3],2004Q4 [YR2004Q4],2005Q1 [YR2005Q1],2005Q2 [YR2005Q2],2005Q3 [YR2005Q3],2005Q4 [YR2005Q4],2006Q1 [YR2006Q1],2006Q2 [YR2006Q2],2006Q3 [YR2006Q3],2006Q4 [YR2006Q4],2007Q1 [YR2007Q1],2007Q2 [YR2007Q2],2007Q3 [YR2007Q3],2007Q4 [YR2007Q4],2008Q1 [YR2008Q1],2008Q2 [YR2008Q2],2008Q3 [YR2008Q3],2008Q4 [YR2008Q4],2009Q1 [YR2009Q1],2009Q2 [YR2009Q2],2009Q3 [YR2009Q3],2009Q4 [YR2009Q4],2010Q1 [YR2010Q1],2010Q2 [YR2010Q2],2010Q3 [YR2010Q3],2010Q4 [YR2010Q4],2011Q1 [YR2011Q1],2011Q2 [YR2011Q2],2011Q3 [YR2011Q3],2011Q4 [YR2011Q4],2012Q1 [YR2012Q1],2012Q2 [YR2012Q2],2012Q3 [YR2012Q3],2012Q4 [YR2012Q4],2013Q1 [YR2013Q1],2013Q2 [YR2013Q2],2013Q3 [YR2013Q3],2013Q4 [YR2013Q4],2014Q1 [YR2014Q1],2014Q2 [YR2014Q2],2014Q3 [YR2014Q3],2014Q4 [YR2014Q4],2015Q1 [YR2015Q1],2015Q2 [YR2015Q2],2015Q3 [YR2015Q3],2015Q4 [YR2015Q4],2016Q1 [YR2016Q1],2016Q2 [YR2016Q2],2016Q3 [YR2016Q3],2016Q4 [YR2016Q4],2017Q1 [YR2017Q1],2017Q2 [YR2017Q2],2017Q3 [YR2017Q3],2017Q4 [YR2017Q4],2018Q1 [YR2018Q1],2018Q2 [YR2018Q2],2018Q3 [YR2018Q3],2018Q4 [YR2018Q4],2019Q1 [YR2019Q1],2019Q2 [YR2019Q2],2019Q3 [YR2019Q3],2019Q4 [YR2019Q4]
Albania,ALB,Gross PSD - Total - All maturities - All instruments - Domestic creditors - Nominal Value - US$,DP.DOD.DECD.CR.PS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4098239592,4077142272.3809,3842048215.5022,3693871027.95183,4132783098.04917,3870101105.44058,4256568602.85361,4425332923.5403,4161304792.3475,4170354125.22,4250571036.74992,4126806730.99356,4530486274782,4649196688.69254,4705355390.61702,7104739636019,7461785344.44762,8051598429.20114,7530563663.87975,7605603942.7781,7413577652.01366,7076418728.29992,6468054339.37074,6824319945.9425,7389215889.32891,6900619511.88489,6831801630.87906,7175104840.37348,7165109916.40956,7069475666994,7184116899.01819,7832803860.14664,8157783258.84449,8582931019.48122,8899611179.38114,8702528880.53072,9089518588.91248,9260168368707,9766709484,9107545130.00278,8941896949.59713,
Albania,ALB,Gross PSD - Total - All maturities - All instruments - Domestic currency - Nominal Value - US$,DP.DOD.DECN.CR.PS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4098239592,4077142272.3809,3863101356.5947,3650834683711,4085757964641,3831770238.52273,4217457787907,4385145270.91,4123819045.4735,4115116578.9,4153884226.21392,4035683625.54,4372504908.07,4479631930.02,4526467932.66022,6398814280.86,6726981772.21674,7085546271496,6782328527715,6856628793.0637,6508858986504,6387687381.75822,5744726280.33377,6083287911.12527,6196783072.89133,5966057548.29478,5950546609.65021,6389493779.66885,6458558394.92174,6006197020.2,6060250251.19987,6714797641.42593,6945546096.99496,7293334490523,7651792018.90927,7621291300.70988,7755566258.28892,7628783023.8,8230376090,7707549487.41759,7691327976.72336,
Albania,ALB,Gross PSD - Total - All maturities - All instruments - External creditors - Nominal Value - US$,DP.DOD.DECX.CR.PS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2542220757.68221,2528560979.02921,2490144888.20096,2353557729.11698,2574750681.65497,2712740697.9927,2848419571.94612,2946781754.83067,2904819758.30657,2912855335.64,2898899371.29991,2848092298.02379,3147016246.80653,3198307311.61607,3031315808.36864,3084526102.91479,3280295455.61105,3690848200.13208,3269397807.78711,3343523442.60377,3373152825.46133,3305636119.21258,3141854628.10084,3216360176.41995,3513549949.05616,3665028075.43751,3731630764.76265,3779104831.16997,3826328986.02889,3643769220,3773866281.28037,3932742349.28435,4101537081.74528,4279543169.16312,4382702325.65811,4153883714.21327,4158949160.33181,4434350832.9857,4899129516.05832,4374384799.83165,4222248674.25992,
Albania,ALB,Gross PSD - Total - All maturities - All instruments - Foreign currency - Nominal Value - US$,DP.DOD.DECF.CR.PS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2542220757.68221,2528560979.02921,2469091747.10846,2396596316.71756,2621775815.06314,2751071564.91055,2887530386.89273,2986969407.46097,2942301857.99757,2968088083035,2995587132.40621,2939215403.47735,3304997613.51853,3367872070.28861,3210203266.32544,3790451458.07379,4015099027.84193,4656900357.83722,4017632943.95186,4092498592.31817,4277871490.97099,3994367481.85109,3865179808.77909,3957392211.23718,4705978741.02474,4599590039.02762,4612885785.9915,4564715891.87461,4532882951.70761,4707050117.49793,4897736070.29549,5050751147.54066,5313777771.86522,5569142398.39134,5630521486.12998,5235121294.03411,5492901490.95537,6065736177.8927,6435462910.05832,5774380442.41685,5472817647.13369,
Albania,ALB,Gross PSD - Total - All maturities - All instruments - Nominal Value - US$,DP.DOD.DECT.CR.PS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6640460349.68221,6605703251.41011,6332193103.70316,6047428757.06881,6707533779.70414,6582841803.43328,7104988174.79973,7372114678.37097,7066124550.65406,7083209460.86,7149470122.87874,6974899029.01734,7677502521.58853,7849324172.6926,7736671198.98566,10189265738.9338,10742080800.0587,11742446629.3332,10799961471.6668,10949127385.3819,10786730477475,10382054847.5125,9609908967.47156,10040680203975,10902765757.8957,10565647587.3224,10563432316.1441,10954209671.5434,10991438983.9115,10713244641698,10957983180.2986,11765545951.4775,12259320325.8205,12862473828.6083,13282313505.0393,12856412594744,13248467749.2443,13694519201.6927,14665839000.0583,13481929929.8344,13164145623857,
Albania,ALB,Gross PSD - Total - All maturities - Currency and deposits - Nominal Value - US$,DP.DOD.DLCD.CR.PS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3033864171.2,3176324107.5,3552951951.1,3215699442.8,3237550470,3263785542,3042549683.24221,2825683227.43627,2991861113.32325,2910842085134,3265482152.79434,3152563982238,3324307695632,3330364900007,3381697800,3385071466.56,3636534705908,3822748668.26,4138370795.7,4152079464.84,4033533598542,4359926295084,4555778580,4750590000,4393444145.23168,4383178155.77439,
Albania,ALB,Gross PSD - Total - All maturities - Debt Securities - Market value - US$,DP.DOD.DLDS.CR.MV.PS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB,Gross PSD - Total - All maturities - Debt securities - Nominal Value - US$,DP.DOD.DLDS.CR.PS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4098239592,4077142272.3809,3863101356.5947,3681443084.14,4118371802.85,4263962563.50273,4666952962165,4843621918.75,4552250657.15,4526379652475,4565445329.61361,4423563080.04,4819790154.27,4937154013.29,4974148909.20203,4323335255.82,4569430315.60674,4788217884873,4582455241455,4657506491.8137,4398507577242,4266094220.25514,3845429074.48519,4053470653.81859,4684173078.24894,4000347515.70077,4028619387.92927,4163382020.35771,4144716676.30962,3974911122,4086305015.43936,4507869759.36204,4654504631.87092,4768892661582,5083026739.45912,4983316200.75024,5039514381.50313,5315003620.6176,5683375641,5303554731.17281,5123674127.12623,
Albania,ALB,Gross PSD - Total - All maturities - Insurance - pensions - and standardized guarantee schemes - Nominal Value - US$,DP.DOD.DLIN.CR.PS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB,Gross PSD - Total - All maturities - Loans - Nominal Value - US$,DP.DOD.DLLO.CR.PS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2468944220.2332,2456008203.44343,2398505876.0562,2297464867.44306,2517060148.52797,2247345836.66921,2364659369.40944,2454299788.72554,2441075516.58758,2483456164705,2512252080.07351,2481173904.24834,2788089944.55001,2841713925.66792,2695768394.02187,2749529111.73152,2923634194.5596,3324331501.61727,2914322703.20139,2979987503.98752,3053755952.35726,3000398732.48777,2865925434.83805,2928909927.18134,3241229013.8848,3233720541.53228,3317619326.27057,3400275200.03559,3449647924.81472,3291488944.8482,3421668994.55847,3554251073.3853,3713907851.43917,3885953168.47112,3977532858.12726,3771974452.10639,3780873692.62084,3754242485.27914,4157348601.45322,3718300701.6489,3590860540.4917,
Albania,ALB,Gross PSD - Total - All maturities - Other accounts payable - Nominal Value - US$,DP.DOD.DLOA.CR.PS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14868967.2,2310800.22,1729264.55,15760141.8,2344930,1587168,5727675.08461338,8604455.33185333,1250298.63820976,1263683266,1669449.081803,1120915878,1400809718,1751670145,2893800,1735511232,2235597.52,2522713336,3186318.6,2060491528,2228798607,2924137836,4811130,2390000,1940755.87334014,2963294.5389436,
Albania,ALB,Gross PSD - Total - All maturities - Special Drawing Rights - Nominal Value - US$,DP.DOD.DLSD.CR.PS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73276537.4490096,72552775.5857814,70585871.0522593,68520805.4857502,72101828.3261706,71533403.261336,73375843.2252898,74192970.8954307,72798376.9164859,73373643.68,71772713.1916184,70162044.728994,69622422.768522,70456233.7346832,66753895.7617593,67668232.9822632,70381382.172327,75216027.1929526,71723942.4104658,71737989.580635,69094237.8757306,67284536.4427667,64266775.3802343,65188211.0136179,65257897.3619481,64427928.2132125,63508703.8282759,64843945.8001476,64957812.6351343,62252974.849728,63202192.5087298,64654815.3020885,65636460.9143402,66070884.2552227,67613951.0848747,65359544.7383627,65229242.2003254,64683385.795962,72134757.6051,64689595.907698,63469505.9257833,
Albania,ALB,Gross PSD - Total - Long-term - All instruments - Nominal Value - US$,DP.DOD.DLTC.CR.PS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4187467965.68221,4127162382.20101,4018525494.67566,3822123566.33681,4242739753.82614,4357496629.16754,4668033296.36373,4839426366.94097,4739116220.30406,4766431478825,4765620418.83574,4689414135.01734,5337263905.41853,5494672648.4926,5484888185.37659,5753999492.31378,6052667287.75192,6707399913.46022,6098866632.51185,6169333669.76816,6161482244.07299,5900294654.85434,5504991490.6286,5740941333.22562,6155840744.31735,6232099737.73181,6425757829.98053,6637280930.38442,6699997935.24001,6309261213.69792,6530444773.50048,7017205520.62891,7286573289.65087,7594332027.10434,7974615495.26501,7755442513.93942,7837153258.44536,8033720839.4927,8779266000.05832,8009752568.89098,7810373913.91972,
Albania,ALB,Gross PSD - Total - Long-term - With payment due in more than one year - All instruments - Nominal Value - US$,DP.DOD.DLTC.CR.M1.PS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3716620541.27595,3715244040.73146,3648063544.51124,3441510449.02982,3866735927.81814,3989000097.5316,4167454041.12497,4378857099.47686,4285476393.50173,4205008122.43,4178015476.35335,4116145744.74027,4733982595.1486,4922555560.86196,4991708635.87306,5284570643.19411,5532049601.30348,6184734084.13164,5601302469.0011,5638681031.0563,5681355886.84724,5011632243.51823,4797925061.66282,4940274032.51075,5290366874.08696,5702159661.21533,5861669529.78468,6030049515.2513,6068279929.50867,5754148137.39398,5958251706.21974,6464249333.6563,6736319251.64442,6952302539.52828,7204256738.45158,7001456307.77879,7001448275.78766,7318894442.99804,8104694687.69649,7372516379.76596,7218070794.60078,
Albania,ALB,Gross PSD - Total - Long-term - With payment due in more than one year - Currency and deposits - Nominal Value - US$,DP.DOD.DLCD.CR.M1.PS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125174550.2,117625143.78,148291380.69,132676912.55,119893060,136225908,68393647.4876335,76398989.5123632,79612964.8801465,83902129712,125542570.951586,167851190412,195433198576,167492255074,73218600,70229307456,69896816308,99073832832,112331232,172637053.94,234819192657,243788497824,171921420,185870000,150654656.885505,210008952.551477,
Albania,ALB,Gross PSD - Total - Long-term - With payment due in more than one year - Debt securities - Nominal Value - US$,DP.DOD.DLDS.CR.M1.PS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1177888248,1192693876.7008,1184512635.2972,1080087985235,1284890606865,1678934682542,1736591356552,1859868916.72,1778366430.8,1655805725.44,1602223027.72061,1571023586.04,1886216956,2018614176.6,2237436444.78776,2348616948.4,2427188774.94,2643365964.21,2489381787.1,2473973054.7,2428223924.34,1882870953.74468,1799511903.85057,1875152584.21597,1907842108.33202,2284929406.15311,2318023031.6478,2373677654.19554,2390181613.6827,2331697446,2408673946.85568,2784889419.6578,2866551754.32896,2896613472384,2993711770.5212,2934068263.00287,2914933238598,3330459783,3691690000,3445224254.80546,3359905998.20949,
Albania,ALB,Gross PSD - Total - Long-term - With payment due in more than one year - Insurance - pensions - and standardized guarantee schemes - Nominal Value - US$,DP.DOD.DLIN.CR.M1.PS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB,Gross PSD - Total - Long-term - With payment due in more than one year - Loans - Nominal Value - US$,DP.DOD.DLLO.CR.M1.PS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2465455755.82694,2449997388.44488,2392965038.16178,2292901658.30907,2509743492.62696,2238532011.72827,2357486841.34768,2444795211.86143,2434311585.78524,2475829713095,2504019735.44112,2474960113.97128,2778143216.38008,2833485150.52728,2687518295.32354,2743110911.61185,2916854300.41115,3317860712.03868,2907519826.94064,2973076926.77567,3047811816.63151,2993083105.84314,2857747392.91965,2920320272.40101,3233364738.68099,3227259755.89742,3312286603.89661,3396094716.67962,3445648248.11684,3286979116.54425,3416146259.39934,3544808282.38841,3705057203.56912,3877286950.88906,3970293962.9055,3767209307.38056,3777497297.16533,3751829854.20208,4154999930.09139,3711947872.1673,3584686337.91403,
Albania,ALB,Gross PSD - Total - Long-term - With payment due in more than one year - Other accounts payable - Nominal Value - US$,DP.DOD.DLOA.CR.M1.PS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB,Gross PSD - Total - Long-term - With payment due in more than one year - Special Drawing Rights - Nominal Value - US$,DP.DOD.DLSD.CR.M1.PS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73276537.4490096,72552775.5857814,70585871.0522593,68520805.4857502,72101828.3261706,71533403.261336,73375843.2252898,74192970.8954307,72798376.9164859,73373643.68,71772713.1916184,70162044.728994,69622422.768522,70456233.7346832,66753895.7617593,67668232.9822632,70381382.172327,75216027.1929526,71723942.4104658,71737989.580635,69094237.8757306,67284536.4427667,64266775.3802343,65188211.0136179,65257897.3619481,64427928.2132125,63508703.8282759,64843945.8001476,64957812.6351343,62252974.849728,63202192.5087298,64654815.3020885,65636460.9143402,66070884.2552227,67613951.0848747,65359544.7383627,65229242.2003254,64683385.795962,72134757.6051,64689595.907698,63469505.9257833,
Albania,ALB,Gross PSD - Total - Long-term - With payment due in one year or less - All instruments - Nominal Value - US$,DP.DOD.DLTC.CR.L1.PS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,470847424.406256,411918341.469544,370461950.164413,380613117.306993,376003826.008006,368496531.635946,500579255.238769,460569267.464108,453639826.802341,561423356395,587604942.482386,573268390.27707,603281310.269933,572117087.630645,493179549.503529,469428849.119675,520617686.448449,522665829.328586,497564163.510757,530652638.711859,480126357.22575,888662411.336119,707066428.96578,800667300.714868,865473870.230383,529940076.516488,564088300.195844,607231415.133111,631718005.731334,555113076.303944,572193067.280737,552956186.972612,550254038.006446,642029487.576059,770358756.813434,753986206.160628,835704982.657701,714826396.494662,674571312.36183,637236189.125029,592303119.318939,
Albania,ALB,Gross PSD - Total - Long-term - With payment due in one year or less - Currency and deposits - Nominal Value - US$,DP.DOD.DLCD.CR.L1.PS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB,Gross PSD - Total - Long-term - With payment due in one year or less - Debt securities - Nominal Value - US$,DP.DOD.DLDS.CR.L1.PS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,467358960,405907526471,364921112.27,376049908173,368687170107,359682706695,493406727177,451064690.6,446875896,553795945,579372597.85,567054600,593334582.1,563888312.49,484929450.8052,463010649,513837792.3,516195039.75,490761287.25,523742061.5,474182221.5,881346784.691487,698888387.047386,792077645.934538,857609595.02658,523479290.881628,558755577.82188,603050931.77714,627718329.03345,550603248,566670332.1216,543513395.97572,541403390.1364,633363269994,763119861.59168,749221061.434801,832328587.202194,712413765.4176,672222641,630883359.643421,586128916.741271,
Albania,ALB,Gross PSD - Total - Long-term - With payment due in one year or less - Insurance - pensions - and standardized guarantee schemes - Nominal Value - US$,DP.DOD.DLIN.CR.L1.PS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB,Gross PSD - Total - Long-term - With payment due in one year or less - Loans - Nominal Value - US$,DP.DOD.DLLO.CR.L1.PS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3488464.406256,6010814.99854428,5540837.8944125,4563209.13399291,7316655.90100596,8813824.94094635,7172528.06176905,9504576.86410827,6763930.80234054,7627411395,8232344.63238635,6213790.27707067,9946728.16993303,8228775.14064499,8250098.69832904,6418200.11967508,6779894.14844873,6470789.57858525,6802876.26075712,6910577.21185901,5944135.7257494,7315626.6446295,8178041.91839394,8589654.78032786,7864275.20380597,6460785.63485937,5332722.3739639,4180483.3559715,3999676.69788417,4509828.30394387,5522735.15913695,9442790.99689157,8850647.87004612,8666217.58205879,7238895.22175446,4765144.72582657,3376395.45550733,2412631.07706193,2348671.3618296,6352829.48160878,6174202.57766822,
Albania,ALB,Gross PSD - Total - Long-term - With payment due in one year or less - Other accounts payable - Nominal Value - US$,DP.DOD.DLOA.CR.L1.PS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB,Gross PSD - Total - Short-term - All instruments - Nominal Value - US$,DP.DOD.DSTC.CR.PS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2452992384,2478540869.2091,2313667609.0275,2225305190732,2464794025878,2225345174.26573,2436954878436,2532688311.43,2327008330.35,2316777982035,2383849704043,2285484894,2340238616.17,2354651524.2,2251783013.60907,4435266246.62,4689413512.30674,5035046715873,4701094839155,4779793715.6137,4625248233402,4481760192.65816,4104917476.84299,4299738870.74938,4746925013.57834,4333547849.59059,4137674486.16359,4316928741.15903,4291441048.67147,4403983428,4427538406.79808,4748340430.84852,4972747036.16956,5268141801504,5307698009.77424,5100970080.80457,5411314490.79894,5660798362.2,5886573000,5472177360.94345,5353771709.93733,
Albania,ALB,Gross PSD - Total - Short-term - Currency and deposits - Nominal Value - US$,DP.DOD.DSCD.CR.PS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2908689621,3058698963.72,3404660570.41,3083022530.25,3117657410,3127559634,2974156035.75458,2749284237.92391,2912248148.4431,2826939955422,3139939581.84275,2984712791826,3128874497056,3162872644933,3308479200,3314842159104,3566637889.6,3723674835428,4026039563.7,3979442410.9,3798714405885,4116137797.26,4383857160,4564720000,4242789488.34618,4173169203.22292,
Albania,ALB,Gross PSD - Total - Short-term - Debt securities - Nominal Value - US$,DP.DOD.DSDS.CR.PS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2452992384,2478540869.2091,2313667609.0275,2225305190732,2464794025878,2225345174.26573,2436954878436,2532688311.43,2327008330.35,2316777982035,2383849704043,2285484894,2340238616.17,2354651524.2,2251783013.60907,1511707658.42,1628403748.36674,1628656880913,1602312167105,1659791375.6137,1496101431402,1501876481.81897,1347028783.58723,1386240423.66807,1918721374.89034,1191938818.66603,1151840778.45959,1186653434.38503,1126816733.59347,1092610428,1110960736.46208,1179466943.72852,1246549487.40556,1238915919204,1326195107.34624,1300026876.31257,1292252555.70294,1272130072.2,1319463000,1227447116.72393,1177639212.17547,
Albania,ALB,Gross PSD - Total - Short-term - Insurance - pensions - and standardized guarantee schemes - Nominal Value - US$,DP.DOD.DSIN.CR.PS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB,Gross PSD - Total - Short-term - Loans - Nominal Value - US$,DP.DOD.DSLO.CR.PS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,
Albania,ALB,Gross PSD - Total - Short-term - Other accounts payable - Nominal Value - US$,DP.DOD.DSOA.CR.PS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14868967.2,2310800.22,1729264.55,15760141.8,2344930,1587168,5727675.08461338,8604455.33185333,1250298.63820976,1263683266,1669449.081803,1120915878,1400809718,1751670145,2893800,1735511232,2235597.52,2522713336,3186318.6,2060491528,2228798607,2924137836,4811130,2390000,1940755.87334014,2963294.5389436,
Argentina,ARG,Gross PSD - Total - All maturities - All instruments - Domestic creditors - Nominal Value - US$,DP.DOD.DECD.CR.PS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,Gross PSD - Total - All maturities - All instruments - Domestic currency - Nominal Value - US$,DP.DOD.DECN.CR.PS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,Gross PSD - Total - All maturities - All instruments - External creditors - Nominal Value - US$,DP.DOD.DECX.CR.PS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,Gross PSD - Total - All maturities - All instruments - Foreign currency - Nominal Value - US$,DP.DOD.DECF.CR.PS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,Gross PSD - Total - All maturities - All instruments - Nominal Value - US$,DP.DOD.DECT.CR.PS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
